Palabra,palabra_para_jugar
Calzar,CALZAR
Camarón,CAMARON
Cameo,CAMEO
Camisa,CAMISA
Camorra,CAMORRA
Camuflaje,CAMUFLAJE
Cáñamo,CANAMO
Canario,CANARIO
Cáncer,CANCER
Candidato,CANDIDATO
Cansar,CANSAR
Capilla,CAPILLA
Capo,CAPO
Carabina,CARABINA
Carambola,CARAMBOLA
Cariátide,CARIATIDE
Carillón,CARILLON
Carioca,CARIOCA
Carminativo,CARMINATIVO
Carnero,CARNERO
Carótida,CAROTIDA
Carpintero,CARPINTERO
Casa,CASA
Catacresis,CATACRESIS
Catapulta,CATAPULTA
Católico,CATOLICO
Celta,CELTA
Censor,CENSOR
Ceremonia,CEREMONIA
Cháchara,CHACHARA
Chambergo,CHAMBERGO
Charrúa,CHARRUA
Chic,CHIC
Chofer,CHOFER
Chusma,CHUSMA
Ciática,CIATICA
Cibernética,CIBERNETICA
Ciclón,CICLON
Cilicio,CILICIO
Cimiento,CIMIENTO
Cimitarra,CIMITARRA
Circadiano,CIRCADIANO
Cirrosis,CIRROSIS
Cirujano,CIRUJANO
Cisma,CISMA
Clandestino,CLANDESTINO
Clérigo,CLERIGO
Cliente,CLIENTE
Clínica,CLINICA
Clon,CLON
Cloro,CLORO
Cobalto,COBALTO
Cobre,COBRE
Coche,COCHE
Cóctel,COCTEL
Cofín,COFIN
Cólera,COLERA
Colon,COLON
Colonia,COLONIA
Comedia,COMEDIA
Comentario,COMENTARIO
Comer,COMER
Compañero,COMPANERO
Cómplice,COMPLICE
Concilio,CONCILIO
Conde,CONDE
Condestable,CONDESTABLE
Contradanza,CONTRADANZA
Convento,CONVENTO
Copacabana,COPACABANA
Coraje,CORAJE
Cordero,CORDERO
Cordobán,CORDOBAN
Corona,CORONA
Coronel,CORONEL
Correo,CORREO
Covidiota,COVIDIOTA
Cráter,CRATER
Criselefantino,CRISELEFANTINO
Crisis,CRISIS
Cristiano,CRISTIANO
Cuatrero,CUATRERO
Cubierto,CUBIERTO
Cucaracha,CUCARACHA
Cultura,CULTURA
Cutiano,CUTIANO
Damajuana,DAMAJUANA
Debacle,DEBACLE
Defenestrar,DEFENESTRAR
Deliberar,DELIBERAR
Democracia,DEMOCRACIA
Demonio,DEMONIO
Deporte,DEPORTE
Derivar,DERIVAR
Derviche,DERVICHE
Desflorar,DESFLORAR
Detalle,DETALLE
Detective,DETECTIVE
Diacrítico,DIACRITICO
Dialelo,DIALELO
Dicha,DICHA
Difteria,DIFTERIA
Dilapidar,DILAPIDAR
Dinamita,DINAMITA
Dinero,DINERO
Diploma,DIPLOMA
Discípulo,DISCIPULO
Discrepar,DISCREPAR
Disculpa,DISCULPA
Disculpa,DISCULPA
Dispepsia,DISPEPSIA
Dólar,DOLAR
Doméstico,DOMESTICO
Draga,DRAGA
Droga,DROGA
Druida,DRUIDA
Duelo,DUELO
Duende,DUENDE
Duodeno,DUODENO
Eclipse,ECLIPSE
Economía,ECONOMIA
Ecuador,ECUADOR
Edecán,EDECAN
Edredón,EDREDON
Electricidad,ELECTRICIDAD
Elefante,ELEFANTE
Elegante,ELEGANTE
Elenco,ELENCO
Eliminar,ELIMINAR
Elipse,ELIPSE
Elite,ELITE
Elixir,ELIXIR
Emoción,EMOCION
Empatar,EMPATAR
Empatía,EMPATIA
Encerrar,ENCERRAR
Encomio,ENCOMIO
Endriago,ENDRIAGO
Energúmeno,ENERGUMENO
Enero,ENERO
Enfurruñado,ENFURRUNADO
Ensayo,ENSAYO
Entretenimiento,ENTRETENIMIENTO
Entrevero,ENTREVERO
Epanadiplosis,EPANADIPLOSIS
Epiceno,EPICENO
Epidemia,EPIDEMIA
Epigrama,EPIGRAMA
Epónimo,EPONIMO
Equidna,EQUIDNA
Equinoccio,EQUINOCCIO
Ergástula,ERGASTULA
Eritrocito,ERITROCITO
Erótico,EROTICO
Esbirro,ESBIRRO
Escabroso,ESCABROSO
Escafoides,ESCAFOIDES
Escamoles,ESCAMOLES
Escamotear,ESCAMOTEAR
Escaparate,ESCAPARATE
Escarabajo,ESCARABAJO
Escarlata,ESCARLATA
Escatología,ESCATOLOGIA
Escéptico,ESCEPTICO
Escorbuto,ESCORBUTO
Esfenoides,ESFENOIDES
Esguince,ESGUINCE
Esmalte,ESMALTE
Esplín,ESPLIN
Estafar,ESTAFAR
Estantigua,ESTANTIGUA
Esteganálisis,ESTEGANALISIS
Estéril,ESTERIL
Estéril,ESTERIL
Esterlina,ESTERLINA
Estética,ESTETICA
Estilo,ESTILO
Estímulo,ESTIMULO
Estocástico,ESTOCASTICO
Estoico,ESTOICO
Estraperlo,ESTRAPERLO
Estratósfera,ESTRATOSFERA
Eufemismo,EUFEMISMO
Exorcismo,EXORCISMO
Exótico,EXOTICO
Expedición,EXPEDICION
Explicar,EXPLICAR
Exquisito,EXQUISITO
Extranjero,EXTRANJERO
Fabuloso,FABULOSO
Faetón,FAETON
Falso,FALSO
Faquir,FAQUIR
Faquir,FAQUIR
Faro,FARO
Farsante,FARSANTE
Fascismo,FASCISMO
Favela,FAVELA
Febrero,FEBRERO
Feijoada,FEIJOADA
Féretro,FERETRO
Fetiche,FETICHE
Fettuccine,FETTUCCINE
Fideo,FIDEO
Filatelia,FILATELIA
Filología,FILOLOGIA
Fiscal,FISCAL
Fisco,FISCO
Fisgar,FISGAR
Flamenco,FLAMENCO
Flecha,FLECHA
Flema,FLEMA
Folclore,FOLCLORE
Folículo,FOLICULO
Fornicar,FORNICAR
Foxtrot,FOXTROT
Fracaso,FRACASO
Franela,FRANELA
Fuga,FUGA
Furia,FURIA
Fusil,FUSIL
Gabinete,GABINETE
Gaceta,GACETA
Gálibo,GALIBO
Galicursi,GALICURSI
Gama,GAMA
Garaje,GARAJE
Garantía,GARANTIA
Garrafal,GARRAFAL
Garrapata,GARRAPATA
Gastronomía,GASTRONOMIA
Gazapo,GAZAPO
Gaznápiro,GAZNAPIRO
Gendarme,GENDARME
Genética,GENETICA
Geografía,GEOGRAFIA
Geranio,GERANIO
Gerbera,GERBERA
Gerenuc,GERENUC
Gnómico,GNOMICO
Gnomo,GNOMO
Gorila,GORILA
Góspel,GOSPEL
Gozo,GOZO
Granate,GRANATE
Gringo,GRINGO
Grito,GRITO
Grulla,GRULLA
Guadaña,GUADANA
Guarida,GUARIDA
Guatemala,GUATEMALA
Hábeas corpus,HABEAS CORPUS
Hambre,HAMBRE
Hamburguesa,HAMBURGUESA
Hápax,HAPAX
Harén,HAREN
Hazaña,HAZANA
Hebilla,HEBILLA
Helio,HELIO
Hemorragia,HEMORRAGIA
Héroe,HEROE
Herpes,HERPES
Hervir,HERVIR
Hígado,HIGADO
Himeneo,HIMENEO
Hipopótamo,HIPOPOTAMO
Hisopo,HISOPO
Hito,HITO
Hocico,HOCICO
Hoguera,HOGUERA
Honor,HONOR
Humus,HUMUS
Hurí,HURI
Idilio,IDILIO
Ilusión,ILUSION
Imán,IMAN
Imbécil,IMBECIL
Impresionismo,IMPRESIONISMO
Inaugurar,INAUGURAR
Incólume,INCOLUME
Inconsútil,INCONSUTIL
Incunable,INCUNABLE
Indígena,INDIGENA
Índigo,INDIGO
Inexorable,INEXORABLE
Infancia,INFANCIA
Infarto,INFARTO
Influenza,INFLUENZA
Ínfulas,INFULAS
Inmolar,INMOLAR
Inmunidad,INMUNIDAD
Inocente,INOCENTE
Inquilino,INQUILINO
Insigne,INSIGNE
Instinto,INSTINTO
Intuición,INTUICION
Investigar,INVESTIGAR
Islas malvinas,ISLAS MALVINAS
Jabón,JABON
Jamón,JAMON
Jaqueca,JAQUECA
Jardín,JARDIN
Jengibre,JENGIBRE
Jeringa,JERINGA
Jinete,JINETE
Jitanjáfora,JITANJAFORA
Jota,JOTA
Jovial,JOVIAL
Judío,JUDIO
Juego,JUEGO
Junio,JUNIO
Kermés,KERMES
Kiosco,KIOSCO
Laberinto,LABERINTO
Laca,LACA
Ladrón,LADRON
Lagarto,LAGARTO
Larva,LARVA
Latino,LATINO
Lechuga,LECHUGA
Leitmotiv,LEITMOTIV
Lempira,LEMPIRA
Leyenda,LEYENDA
Libélula,LIBELULA
Libertinaje,LIBERTINAJE
Libia,LIBIA
Libreto,LIBRETO
Liceo,LICEO
Limítrofe,LIMITROFE
Linchar,LINCHAR
Litera,LITERA
Llama,LLAMA
Llorar,LLORAR
Lona,LONA
Lotería,LOTERIA
Lubricán,LUBRICAN
Lucifer,LUCIFER
Lujuria,LUJURIA
Luna,LUNA
Luto,LUTO
Macadán,MACADAN
Magenta,MAGENTA
Magnetismo,MAGNETISMO
Magnolia,MAGNOLIA
Mago,MAGO
Maguey,MAGUEY
Majada,MAJADA
Malandrín,MALANDRIN
Maleta,MALETA
Malvinas,MALVINAS
Mambo,MAMBO
Mandinga,MANDINGA
Manglar,MANGLAR
Mano,MANO
Maqueta,MAQUETA
Maraña,MARANA
Margarita,MARGARITA
Marioneta,MARIONETA
Mariscal,MARISCAL
Marrano,MARRANO
Mártir,MARTIR
Marzo,MARZO
Máscara,MASCARA
Masonería,MASONERIA
Matar,MATAR
Matrícula,MATRICULA
Mayólica,MAYOLICA
Mazmorra,MAZMORRA
Médico,MEDICO
Melodía,MELODIA
Menaje,MENAJE
Mentir,MENTIR
Mentor,MENTOR
Menú,MENU
Mequetrefe,MEQUETREFE
Mercado,MERCADO
Mercurio,MERCURIO
Merengue,MERENGUE
Merienda,MERIENDA
Metáfora,METAFORA
Meteoro,METEORO
México,MEXICO
Mientras,MIENTRAS
Milonga,MILONGA
Mimbre,MIMBRE
Mimo,MIMO
Miniatura,MINIATURA
Ministro,MINISTRO
Mismo,MISMO
Misterio,MISTERIO
Mitra,MITRA
Mitridatismo,MITRIDATISMO
Mojigato,MOJIGATO
Mondongo,MONDONGO
Moneda,MONEDA
Monzón,MONZON
Moraleja,MORALEJA
Moretón,MORETON
Morfina,MORFINA
Morganático,MORGANATICO
Morgue,MORGUE
Morlaco,MORLACO
Mormazo,MORMAZO
Mosquetero,MOSQUETERO
Mucama,MUCAMA
Muelle,MUELLE
Mujer,MUJER
Museo,MUSEO
Narcisismo,NARCISISMO
Narval,NARVAL
Navaja,NAVAJA
Navidad,NAVIDAD
Nazi,NAZI
Nefasto,NEFASTO
Negacionismo,NEGACIONISMO
Negocio,NEGOCIO
Neurona,NEURONA
Nicotina,NICOTINA
Nigromancia,NIGROMANCIA
Nimio,NIMIO
Noche,NOCHE
Nomeolvides,NOMEOLVIDES
Novela,NOVELA
Nudo gordiano,NUDO GORDIANO
Obedecer,OBEDECER
Oboe,OBOE
Obsceno,OBSCENO
Obstetricia,OBSTETRICIA
Obtuso,OBTUSO
Obús,OBUS
Océano,OCEANO
Octubre,OCTUBRE
Oficio,OFICIO
Ogro,OGRO
Oleaginoso,OLEAGINOSO
Oleoducto,OLEODUCTO
Olfato,OLFATO
Olíbano,OLIBANO
Olvido,OLVIDO
Ombligo,OMBLIGO
Ominoso,OMINOSO
Ómnibus,OMNIBUS
Onomatopeya,ONOMATOPEYA
Opio,OPIO
Optimismo,OPTIMISMO
Oráculo,ORACULO
Orangután,ORANGUTAN
Origen,ORIGEN
Orín,ORIN
Ornitorrinco,ORNITORRINCO
Oropéndola,OROPENDOLA
Orquídea,ORQUIDEA
Ovación,OVACION
Paella,PAELLA
Página,PAGINA
Pagoda,PAGODA
Palacio,PALACIO
Paladio,PALADIO
Palimpsesto,PALIMPSESTO
Palurdo,PALURDO
Panegírico,PANEGIRICO
Pañol,PANOL
Panorama,PANORAMA
Pantagruélico,PANTAGRUELICO
Pantalón,PANTALON
Panteón,PANTEON
Papá noel,PAPA NOEL
Parafina,PARAFINA
Paralelo,PARALELO
Paramecio,PARAMECIO
Parangón,PARANGON
Paranoia,PARANOIA
Parásito,PARASITO
Pariente,PARIENTE
Paroxismo,PAROXISMO
Parquet,PARQUET
Párroco,PARROCO
Partitura,PARTITURA
Pascua,PASCUA
Pasionaria,PASIONARIA
Pasteurización,PASTEURIZACION
Patíbulo,PATIBULO
Patraña,PATRANA
Payaso,PAYASO
Pecuario,PECUARIO
Pedazo,PEDAZO
Pedigrí,PEDIGRI
Pegar,PEGAR
Película,PELICULA
Penacho,PENACHO
Péndulo,PENDULO
Pera,PERA
Perdiz,PERDIZ
Peregrino,PEREGRINO
Perieco,PERIECO
Período,PERIODO
Peripecia,PERIPECIA
Peroné,PERONE
Perpetrar,PERPETRAR
Persona,PERSONA
Petróleo,PETROLEO
Pezuña,PEZUNA
Piara,PIARA
Pícaro,PICARO
Pífano,PIFANO
Pigmento,PIGMENTO
Píloro,PILORO
Pinacoteca,PINACOTECA
Pincel,PINCEL
Pindárico,PINDARICO
Pineal,PINEAL
Pinganillo,PINGANILLO
Pinzón,PINZON
Piquete,PIQUETE
Pirámide,PIRAMIDE
Piropo,PIROPO
Pírrico,PIRRICO
Piscina,PISCINA
Pista,PISTA
Pistón,PISTON
Plagio,PLAGIO
Planeta,PLANETA
Plástico,PLASTICO
Pléyade,PLEYADE
Plutocracia,PLUTOCRACIA
Polimatía,POLIMATIA
Pólipo,POLIPO
Política,POLITICA
Pollino,POLLINO
Polonia,POLONIA
Pomada,POMADA
Pompa,POMPA
Ponche,PONCHE
Pontífice,PONTIFICE
Popelina,POPELINA
Pordiosero,PORDIOSERO
Postergar,POSTERGAR
Potasio,POTASIO
Prebenda,PREBENDA
Presbítero,PRESBITERO
Prestigio,PRESTIGIO
Priapismo,PRIAPISMO
Pro-,PRO-
Procrastinar,PROCRASTINAR
Proferir,PROFERIR
Programa,PROGRAMA
Proletario,PROLETARIO
Propóleo,PROPOLEO
Protocolo,PROTOCOLO
Proxeneta,PROXENETA
Psicología,PSICOLOGIA
Psicosomático,PSICOSOMATICO
Pterodáctilo,PTERODACTILO
Puerperio,PUERPERIO
Pupitre,PUPITRE
Púrpura,PURPURA
Quark,QUARK
Quinina,QUININA
Quintaesencia,QUINTAESENCIA
Quipu,QUIPU
Radar,RADAR
Radio,RADIO
Raglan,RAGLAN
Raíz,RAIZ
Rambla,RAMBLA
Ramera,RAMERA
Ramera,RAMERA
Rancho,RANCHO
Rapsodia,RAPSODIA
Raza,RAZA
Rebuznar,REBUZNAR
Recalcitrante,RECALCITRANTE
Recluso,RECLUSO
Récord,RECORD
Refunfuñar,REFUNFUNAR
Regañar,REGANAR
Reloj,RELOJ
Remoto,REMOTO
Remuneración,REMUNERACION
Reservar,RESERVAR
Resiliencia,RESILIENCIA
Restaurante,RESTAURANTE
Retaliación,RETALIACION
Reticencia,RETICENCIA
Retórica,RETORICA
Retruécano,RETRUECANO
Rezar,REZAR
Robar,ROBAR
Robot,ROBOT
Rococó,ROCOCO
Rosario,ROSARIO
Rotisería,ROTISERIA
Rúbrica,RUBRICA
Rueda,RUEDA
Ruleta,RULETA
Rupestre,RUPESTRE
Rupia,RUPIA
Sagrado,SAGRADO
Sainete,SAINETE
Salario,SALARIO
Samba,SAMBA
San cristóbal y nieves,SAN CRISTOBAL Y NIEVES
Sandía,SANDIA
Sándwich,SANDWICH
Santabárbara,SANTABARBARA
Sarao,SARAO
Sarcasmo,SARCASMO
Sartorio,SARTORIO
Satélite,SATELITE
Saxófono,SAXOFONO
Sedán,SEDAN
Seguridad,SEGURIDAD
Semana,SEMANA
Semántica,SEMANTICA
Serpentina,SERPENTINA
Seudónimo,SEUDONIMO
Sexagesimal,SEXAGESIMAL
Sibarita,SIBARITA
Sicario,SICARIO
Sífilis,SIFILIS
Silencio,SILENCIO
Sílfide,SILFIDE
Siniestro,SINIESTRO
Sirena,SIRENA
Sodomía,SODOMIA
Sofisticado,SOFISTICADO
Sofocar,SOFOCAR
Solidaridad,SOLIDARIDAD
Solsticio,SOLSTICIO
Sororidad,SORORIDAD
Sota,SOTA
Subasta,SUBASTA
Taberna,TABERNA
Tafetán,TAFETAN
Tahona,TAHONA
Talento,TALENTO
Tamarindo,TAMARINDO
Tándem,TANDEM
Tañer,TANER
Tarjeta,TARJETA
Tartufo,TARTUFO
Tatuaje,TATUAJE
Tautología,TAUTOLOGIA
Taxidermia,TAXIDERMIA
Taxímetro,TAXIMETRO
Temprano,TEMPRANO
Tenis,TENIS
Terrorismo,TERRORISMO
Tertulia,TERTULIA
Testarudo,TESTARUDO
Testigo,TESTIGO
Tifón,TIFON
Tilde,TILDE
Tímpano,TIMPANO
Tinnitus,TINNITUS
Tiovivo,TIOVIVO
Tiquismiquis,TIQUISMIQUIS
Tirabuzón,TIRABUZON
Tiroides,TIROIDES
Titán,TITAN
Títere,TITERE
Toalla,TOALLA
Tocayo,TOCAYO
Tomate,TOMATE
Topacio,TOPACIO
Toronja,TORONJA
Tos ferina o convulsa,TOS FERINA O CONVULSA
Tótem,TOTEM
Trabajo,TRABAJO
Tragedia,TRAGEDIA
Trámite,TRAMITE
Tramoya,TRAMOYA
Trapecio,TRAPECIO
Trapiche,TRAPICHE
Tregua,TREGUA
Triaje,TRIAJE
Tribu,TRIBU
Trifulca,TRIFULCA
Tripa,TRIPA
Triunfo,TRIUNFO
Trocánter,TROCANTER
Troglodita,TROGLODITA
Trombocito,TROMBOCITO
Ufanar,UFANAR
Ultracorrección,ULTRACORRECCION
Urraca,URRACA
Vacuna,VACUNA
Valladolid,VALLADOLID
Vampiro,VAMPIRO
Vanguardia,VANGUARDIA
Vasallo,VASALLO
Vaselina,VASELINA
Vecino,VECINO
Vedete,VEDETE
Vehículo,VEHICULO
Veneno,VENENO
Venir,VENIR
Ventrílocuo,VENTRILOCUO
Verbena,VERBENA
Vereda,VEREDA
Veronal,VERONAL
Veto,VETO
Viandante,VIANDANTE
Viático,VIATICO
Vicario,VICARIO
Victoria,VICTORIA
Villancico,VILLANCICO
Vinilo,VINILO
Vino,VINO
Violeta,VIOLETA
Violín,VIOLIN
Virus,VIRUS
Vitamina,VITAMINA
Vitolfilia,VITOLFILIA
Vituperar,VITUPERAR
Viuda,VIUDA
Vocación,VOCACION
Vodevil,VODEVIL
Volcán,VOLCAN
Vudú,VUDU
Whisky,WHISKY
Yanqui,YANQUI
Yate,YATE
Yelmo,YELMO
Yoga,YOGA
Yugular,YUGULAR
Zafarrancho,ZAFARRANCHO
Zafra,ZAFRA
Zahón,ZAHON
Zalamero,ZALAMERO
Zanahoria,ZANAHORIA
Zonzo,ZONZO
Zurdo,ZURDO
